City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Ballina,AU,-28.8667,153.5667,73.4,64,40,14.97,scattered clouds
149,Pemba,MZ,-12.974,40.5178,81.36,81,93,14.14,overcast clouds
150,Burnie,AU,-41.0667,145.9167,52.0,69,0,11.45,clear sky
151,Bathsheba,BB,13.2167,-59.5167,82.4,54,20,18.41,few clouds
152,Esperance,AU,-33.8667,121.9,62.6,88,75,4.61,broken clouds
153,Nemuro,JP,43.3236,145.575,18.27,87,77,18.39,broken clouds
154,Waipawa,NZ,-41.4122,175.5153,64.99,88,90,11.5,overcast clouds
155,Cidreira,BR,-30.1811,-50.2056,75.38,68,0,11.74,clear sky
156,Juybar,IR,36.6412,52.9124,49.73,85,0,5.82,clear sky
157,Namibe,AO,-15.1961,12.1522,72.52,77,96,8.12,overcast clouds
158,Moron,AR,-34.6534,-58.6198,77.0,61,75,11.5,broken clouds
159,Sayat,TM,38.7839,63.8803,42.8,87,0,6.91,clear sky
160,Birao,CF,10.2849,22.7882,68.47,24,55,4.76,broken clouds
161,Grand Gaube,MU,-20.0064,57.6608,78.01,80,6,1.99,clear sky
162,Pervomayskiy,RU,53.2485,40.2871,-4.61,91,32,4.16,scattered clouds
163,Martapura,ID,-3.4167,114.85,77.0,94,40,1.14,scattered clouds
164,Saiha,IN,22.4833,92.9667,53.26,60,0,3.65,clear sky
165,Mitsamiouli,KM,-11.3847,43.2844,83.1,77,100,11.41,overcast clouds
166,Carnarvon,AU,-24.8667,113.6333,77.0,100,0,18.41,clear sky
167,Olinda,BR,-8.0089,-34.8553,82.4,61,40,6.91,scattered clouds
168,Kochevo,RU,59.5994,54.3125,-16.02,87,100,9.1,overcast clouds
169,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.8,73,90,11.5,light rain
170,Vostok,RU,46.4856,135.8833,-11.06,90,100,6.04,overcast clouds
171,Pacific Grove,US,36.6177,-121.9166,54.0,76,1,4.61,clear sky
172,Luganville,VU,-15.5333,167.1667,77.76,72,0,3.36,clear sky
173,Behshahr,IR,36.6923,53.5526,51.31,70,0,3.27,clear sky
174,Grindavik,IS,63.8424,-22.4338,32.0,74,0,8.05,clear sky
175,Spring Hill,US,28.4769,-82.5255,73.4,64,75,8.05,broken clouds
176,Lodwar,KE,3.1191,35.5973,83.86,43,25,7.99,scattered clouds
177,Castro,BR,-24.7911,-50.0119,70.39,75,15,8.12,few clouds
178,Meulaboh,ID,4.1363,96.1285,76.69,88,20,4.52,few clouds
179,Christchurch,NZ,-43.5333,172.6333,71.6,40,20,12.66,few clouds
180,Victoria,HK,22.2855,114.1577,66.0,76,100,4.0,overcast clouds
181,Greytown,ZA,-29.0642,30.5928,65.16,98,100,3.24,light rain
182,Clyde River,CA,70.4692,-68.5914,10.4,92,20,28.77,snow
183,Muros,ES,42.7762,-9.0603,54.0,84,100,5.01,light rain
184,Portland,US,45.5234,-122.6762,46.0,65,75,3.44,broken clouds
185,Lewisporte,CA,49.2499,-55.0482,28.4,93,90,23.02,snow
186,Miramar,US,25.9873,-80.2323,84.0,47,75,12.66,broken clouds
187,Pozo Colorado,PY,-23.4923,-58.7972,95.5,23,1,3.47,clear sky
188,Iqaluit,CA,63.7506,-68.5145,26.6,74,75,2.3,broken clouds
189,Ketchikan,US,55.3422,-131.6461,24.8,74,90,5.75,overcast clouds
190,Lata,PT,40.1629,-8.3327,54.0,86,61,4.88,broken clouds
191,Yerbogachen,RU,61.2767,108.0108,7.93,95,84,5.35,broken clouds
192,Bilma,NE,18.6853,12.9164,71.65,18,100,6.58,overcast clouds
193,Isangel,VU,-19.55,169.2667,79.09,70,8,5.21,clear sky
194,Taicheng,CN,38.731,113.228,26.92,79,0,1.74,clear sky
195,Ahipara,NZ,-35.1667,173.1667,68.36,80,100,8.88,overcast clouds
196,Conceicao Do Almeida,BR,-12.7794,-39.17,81.77,66,100,10.09,light rain
197,Lima,PE,-12.0432,-77.0282,78.01,73,40,14.97,scattered clouds
198,Santa Marta,CO,11.2408,-74.199,98.01,49,3,1.99,clear sky
199,Ryabovo,RU,59.4,31.1333,0.0,84,0,2.86,clear sky
200,Fomboni,KM,-12.28,43.7425,83.75,74,100,17.38,overcast clouds
201,Namtsy,RU,62.7161,129.6658,-31.0,68,95,2.24,mist
202,Jieznas,LT,54.6,24.1667,14.0,67,0,12.66,clear sky
203,Acarau,BR,-2.8856,-40.12,83.16,74,74,15.14,light rain
204,Mongoumba,CF,3.6415,18.5936,75.83,21,57,1.57,broken clouds
205,Khatanga,RU,71.9667,102.5,-19.21,82,0,14.05,clear sky
206,Mar Del Plata,AR,-38.0023,-57.5575,68.0,60,40,19.57,scattered clouds
207,Marawi,PH,7.9986,124.2928,75.0,93,99,5.01,light rain
208,Guangyuan,CN,32.442,105.823,41.0,74,69,3.0,broken clouds
209,North Bend,US,43.4065,-124.2243,46.0,81,1,7.31,clear sky
210,Dingle,PH,10.9995,122.6711,74.3,95,100,7.54,overcast clouds
211,Shache,CN,38.4167,77.2406,30.72,80,5,2.01,clear sky
212,Husavik,IS,66.0449,-17.3389,30.2,80,90,5.75,light snow
213,Olga,RU,43.7444,135.2892,5.85,79,79,16.69,broken clouds
214,Colares,PT,38.7992,-9.4469,55.99,89,100,11.01,overcast clouds
215,Dickinson,US,29.4608,-95.0513,71.01,82,75,12.66,broken clouds
216,Itoman,JP,26.1247,127.6694,60.8,63,75,14.97,broken clouds
217,Sao Filipe,CV,14.8961,-24.4956,70.36,75,100,12.97,overcast clouds
218,Tambura,SS,5.6,27.4667,72.05,22,53,4.07,broken clouds
219,Manono,CD,-7.3,27.4167,71.19,91,100,1.48,overcast clouds
220,Korla,CN,41.7597,86.1469,32.18,80,19,3.74,few clouds
221,Urubicha,BO,-15.3833,-62.95,93.2,39,100,4.09,overcast clouds
222,Flin Flon,CA,54.7682,-101.865,-22.0,63,90,9.22,snow
223,Rosario,AR,-32.9468,-60.6393,84.99,65,75,14.97,broken clouds
224,Padang,ID,-0.9492,100.3543,75.2,94,75,2.3,light rain
225,Barcelos,PT,41.5388,-8.6151,53.6,62,40,13.8,light rain
226,Anastacio,BR,-20.4836,-55.8069,87.8,44,1,1.72,clear sky
227,Saint-Louis,SN,16.3333,-15.0,82.4,24,0,2.3,clear sky
228,Tiksi,RU,71.6872,128.8694,-25.49,87,100,5.82,overcast clouds
229,Yar-Sale,RU,66.8333,70.8333,-18.15,87,9,6.08,clear sky
230,Tanout,NE,14.9709,8.8879,69.46,18,63,11.18,broken clouds
231,Qaqortoq,GL,60.7167,-46.0333,39.2,28,75,41.43,broken clouds
232,Billings,US,45.7833,-108.5007,1.0,71,90,6.91,light snow
233,Kloulklubed,PW,7.0419,134.2556,78.8,94,90,10.36,overcast clouds
234,Nizhnyaya Omka,RU,55.4338,74.9426,-3.03,90,100,16.06,overcast clouds
235,Shiraz,IR,29.6036,52.5388,46.4,76,0,4.61,clear sky
236,Coihaique,CL,-45.5752,-72.0662,86.0,25,0,5.75,clear sky
237,Tautira,PF,-17.7333,-149.15,84.2,70,20,3.44,few clouds
