City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
614,Otacilio Costa,BR,78.13,few clouds,-27.4831,-50.1219,Hotel Daieli
616,Itaberaba,BR,78.75,overcast clouds,-12.5275,-40.3069,Araújo Hotel
617,Vao,NC,76.93,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
620,Sao Paulo De Olivenca,BR,85.95,moderate rain,-3.3783,-68.8725,
623,Mackay,AU,77.0,overcast clouds,-21.15,149.2,International Lodge Motel
630,Kalianget,ID,78.93,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
638,Buin,CL,82.99,clear sky,-33.7333,-70.75,Paihuen
644,Auki,SB,79.68,moderate rain,-8.7676,160.7034,Auki Motel
645,Careiro Da Varzea,BR,82.4,broken clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
648,Lodja,CD,75.09,broken clouds,-3.4833,23.4333,
652,Sungairaya,ID,76.69,moderate rain,0.7,108.9,Mess P.Milu
653,Pemangkat,ID,77.09,light rain,1.1667,108.9667,Kost H.Syamsuddin
657,Morondava,MG,82.27,moderate rain,-20.2833,44.2833,La Case Bambou
660,Makakilo City,US,75.2,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
665,Nabire,ID,75.99,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
